titulo,descripcion,url
Introducción a Java,"Este es un curso introductorio a la programación en Java. Como Java es un lenguaje orientado a objetos de propósito general, revisaremos los conceptos básicos del lenguaje como clases e interfaces. Veremos los ingredientes básicos de una clase como constantes y variables, funciones (métodos), y cómo organizar estos ingredientes dentro de una clase. También veremos la utilización de clases de las bibliotecas de Java. En el primer módulo revisaremos el concepto de orientación a objetos aplicándolo en la vida real. En el segundo módulo revisamos una herramienta de diseño orientado a objetos, llamada tarjetas de responsabilidades, y a partir de estas últimas diseñamos los encabezados de los distintos servicios que se van a dar, codificándolos en una interfaz. En el tercer módulo terminaremos la construcción de la clase que corresponde a este problema, aclarando términos comunes en Java, revisando la sintaxis del lenguaje y la autodocumentación con la que cuenta. En el cuarto módulo utilizaremos lo que ya tenemos para construir una clase más compleja que proporciones arreglos de objetos de la clase que ya tenemos y examinando con bastante profundidad tanto el esquema conceptual de los arreglos como su implementación en el modelo de memoria de Java. En el quinto y último módulo profundizaremos en el uso de repetición en ejecución y, no puede faltar, los distintos tipos de ejecución condicional que provee el lenguaje.",https://www.coursera.org/learn/introduccion-java
Robótica,"¿Te gustaría construir un robot y controlarlo a través de tu celular? ¡Estás en el curso indicado! Aquí podrás armar y animar un robot además de controlarlo con tu teléfono móvil, aún cuando te encuentres lejos de éste. ¿No sabes acerca de mecánica, electrónica o programación? ¡No te preocupes! Éste es un curso en el que aplicarás los conocimientos básicos sobre mecánica, electricidad, electrónica y programación para construir y controlar tu robot.  Parece complicado, pero no te preocupes, ya verás que resulta muy sencillo. El único requisito es que tengas interés por aprender sobre robótica móvil. Subtítulos disponibles en español. Cinco semanas de estudio. Dos/cuatro horas por semana",https://www.coursera.org/learn/robotica-inicial
"Conociendo Canva, tu nueva herramienta de diseño favorita","En este curso aprenderás desde cero cómo utilizar Canva, la herramienta de diseño más utilizada en la actualidad.Con Canva puedes realizar desde diseños para redes sociales, hasta reportes para el trabajo, tiene una interfaz fácil de seguir, lo cual facilita el trabajo en cada uno de los diseños.",https://www.coursera.org/projects/conociendo-canva
Programa especializado: Diseño gráfico,"El diseño gráfico está a nuestro alrededor, en una miríada de formas, tanto en pantalla como impreso, pero siempre se compone de imágenes y palabras para crear un objetivo de comunicación. Esta secuencia de cuatro cursos expone a los estudiantes las habilidades fundamentales necesarias para realizar un diseño gráfico sofisticado: proceso, contexto histórico y comunicación a través de la creación de imágenes y la tipografía. La secuencia se completa con un proyecto final que aplica las habilidades de cada curso y los comentarios de los compañeros en un proyecto de marca acabado adecuado para un portafolio profesional. El objetivo de esta especialización es dotar a los alumnos de un conjunto de herramientas formales y conceptuales transferibles para ""hacer y comunicar"" en el campo del diseño gráfico. Este conjunto de habilidades básicas equipará a los alumnos para estudios formales en diseño gráfico, y un punto de partida para trabajos posteriores en diseño de interfaces, motion graphics y diseño editorial.",https://www.coursera.org/specializations/graphic-design
Certificado profesional de Diseño de Experiencia del Usuario (UX) de Google,"Comienza tu carrera en diseño UX sin necesidad de contar con un título ni experiencia previa. Accede rápidamente a un trabajo con un sueldo competitivo gracias a la formación profesional diseñada por Google. El diseño UX se centra en la interacción de las personas con productos como sitios web, aplicaciones y objetos físicos. Su objetivo es lograr que esos intercambios cotidianos sean útiles, agradables y accesibles. Podrás crear diseños en papel y con herramientas digitales, como Figma y Adobe XD. Al final del programa de Certificados, tendrás un portfolio UX profesional con tres proyectos integrales, de modo que estarás en condiciones para postularte a puestos de trabajo reales. El 75% de quienes obtuvieron un certificado de Google en los Estados Unidos informa que registró una mejora en su carrera profesional dentro de los 6 meses de haber obtenido el certificado. Aprenderás a completar el proceso de diseño de principio a fin: empatizar con las y los usuarios; definir sus dificultades; proponer soluciones de diseño; crear esquemas, maquetas y prototipos; probar diseños mediante estudios de facilidad de uso; mejorar los diseños sobre la base de los comentarios recibidos (iterar). A través de videos, material de lectura, evaluaciones y actividades prácticas, aprenderás a usar Figma y Adobe XD, dos herramientas de diseño altamente demandadas. Incluso crearás un portfolio con tres proyectos que podrás compartir con posibles empleadores para exhibir las habilidades logradas  con este programa.",https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google
"Programa especializado: Creatividad, diseño e innovación: Técnicas y herramientas","Utilice las herramientas y técnicas de creatividad, diseño e innovación para generar soluciones diferentes a las convencionales ante retos complejos y reconozca el papel crítico que juega el diseño en la sociedad. ¡Conviértase en un líder creativo en su campo!",https://www.coursera.org/specializations/creatividad-diseno-innovacion
El lenguaje del diseño: Forma y significado,"En este curso, la crítica se define como un análisis detallado y objetivo de una obra de diseño gráfico y de su eficacia. La crítica es una parte integral del proceso de creación para los diseñadores: no es sólo cómo determinamos si una obra de diseño tiene éxito o no, es cómo hacemos avanzar nuestro trabajo. La crítica es también el lugar donde otras voces y opiniones pueden introducirse en el proceso de diseño.  Este curso introducirá un léxico (o vocabulario) para que demuestre formas más claras y ponderadas de hablar del diseño gráfico en el contexto de la crítica. A través de este léxico y de un marco de crítica proporcionado, modelaremos y luego practicaremos la descripción objetiva de lo bien que funciona una obra de diseño basándonos en criterios específicos y claramente articulados. Al perfeccionar esta habilidad, mejorará su capacidad para comunicarse sobre diseño con compañeros, colegas y clientes.   Este curso es esencial para cualquier persona que desee desarrollar y perfeccionar un vocabulario crítico a la hora de hablar sobre arte y diseño, como por ejemplo: - diseñadores gráficos en activo de todos los niveles - futuros y actuales estudiantes de programas de arte o diseño - profesores que enseñen artes visuales, diseño o materias relacionadas - cualquier parte interesada en un proyecto de diseño que necesite comunicarse eficazmente con los diseñadores de su equipo.   Se recomienda este curso a los alumnos matriculados en la Especialización en Diseño Gráfico o en la Especialización en Diseño UI/UX de Coursera para seguir desarrollando sus habilidades en diseño gráfico. Puede tomar este curso antes, durante o después de completar cualquiera de las dos Specializations. ",https://www.coursera.org/learn/design-language
Entender el diseño,"¿Qué es el diseño? ¿Qué hacen los diseñadores para practicar su arte y que crean? ¿Qué importancia tiene el diseño de las corporaciones en la sociedad y la cultura? ¿Quiénes son algunos de los diseñadores más importantes de nuestra época y que han hecho? ¿Cómo uno puede convertirse en diseñador? Estas son algunas de las preguntas que exploraremos en este cuso introductorio de diseño. Con frecuencia se ha descrito el diseño como solución de problemas, el proceso de convertir las ideas en realidad o los medios, mediante los cuales podemos hacer que el mundo sea un lugar mejor. En este curso, hablaremos de una variedad de definiciones de diseño, la naturaleza del proceso de diseño y formas de práctica de diseño como el diseño de productos, diseño de experiencia de usuario, diseño gráfico, diseño interior y diseño de modas. Hablaremos de estos temas mediante los análisis de casos de varias cosas icónicas y cotidianas que nos rodean.  Este curso le ayudará a entender tales conceptos como el pensamiento creativo, estrategia de diseño, investigación de diseño, y el proceso del diseño para que  los aplique a su propio trabajo.",https://www.coursera.org/learn/entender-diseno
Programa especializado: Administración de Empresas,"Este Programa especializado está dirigido a quienes busquen profundizar en el campo de la administración de empresas, recorriendo distintas áreas de esta disciplina. A través de estos cursos te irás apropiando de diferentes saberes, entre ellos: Comprender la importancia del desarrollo estratégico en la gestión de capital humano. Desarrollar el objetivo empresarial. Desarrollar sistemas ágiles de gestión. Entender la relación del marketing con el negocio, su lado estratégico y la relevancia del marketing operativo.   Generar herramientas que permitan analizar y comprender apropiadamente el modo en el que el contexto económico influye sobre el desempeño de una empresa. Interpretar y utilizar la información contable y financiera como herramienta para el control de gestión y la toma de decisiones.",https://www.coursera.org/specializations/administracion-de-empresas
Contabilidad para no contadores,"En este curso, ofrecido por la UNAM, vas a entrar al  fascinante mundo de la contabilidad. Esta técnica te permitirá tomar decisiones en tu vida empresarial, corporativa, personal, profesional y de emprendedor. Entrarás al mundo de la Contabilidad para no Contadores.  Vas a lograr definir qué es la contabilidad, en qué consiste y cuáles son sus principios fundamentales. También descubrirás su utilidad en tu vida cotidiana y al profesional al que debes recurrir y confiar tu vida contable.  Además, podrás saber qué nos dice la información financiera, qué y cómo debemos leerla y qué decisiones tomar basados en ella. Prepárate para conocer los principales Estados financieros, sus elementos y su utilidad en tu vida contable.",https://www.coursera.org/learn/contabilidad
Administración de Recursos Humanos,"¿Por qué piensas que la gestión del área de recursos humanos muchas veces no es protagonista de las decisiones estratégicas de tu organización? ¿Por qué si el capital intangible es el diferencial competitivo de las organizaciones, estas no lo trabajan adecuadamente o no obtienen los resultados necesarios? Tanto si eres un profesional de recursos humanos como si no, este curso te permitirá profundizar en los mejores y más modernos conceptos y prácticas que hacen a la gestión del capital humano. ",https://www.coursera.org/learn/administracion-de-recursos-humanos
Gestión Empresarial Exitosa para Pymes,"Este curso tiene como objetivo fortalecer las capacidades de gestión de pequeños y medianos empresarios, y personas interesadas en emprender. El Programa Pyme de la Pontificia Universidad Católica de Chile te invita a profundizar sobre lo que se requiere para ser un empresario exitoso y a aprender buenas prácticas en dirección de empresas que permitan crear valor al cliente, a través del marketing y herramientas comerciales. Te ayudará también a comprender las principales decisiones financieras que enfrenta la empresa, la contabilidad y su utilidad para la gestión y control del negocio; asimismo, conocerás las claves para seleccionar y dirigir personas y equipos, procurando su mayor productividad y desarrollo humano integral. Además, para seguir capacitándote como empresario para gestionar tu negocio con éxito, te invitamos a realizar el siguiente curso: Planificación y gestión estratégica para Pymes, el cual también se encuentra dentro de la oferta de Coursera. El diseño de estos cursos está basado en la experiencia del Programa Pyme UC, que ayuda a empresarios a hacer más competitivas sus empresas, con Mentores ex alumnos con amplia experiencia en negocios y Cursos dictados por Profesores de la Escuela de Administración UC. Más información en www.pyme.uc.cl.",https://www.coursera.org/learn/gestionempresarialpyme
Costos para los Negocios,"a) Analizar los elementos, las estructuras, los métodos y los sistemas de costeo propios de una empresa, utilizando diversas herramientas, para identificar los posibles tipos de cálculos a generar. b) Calcular costos, utilizando diversos procedimientos acordes a los tipos de objetos de costos, estructuras, procesos y sistemas, con el propósito de obtener información relevante para la empresa que permitan una adecuada toma de decisiones. c) Elaborar e interpretar informes de costeos de objetos del costo, basándose en la información recabada y los datos obtenidos, con la finalidad de proponer diversas recomendaciones que permitan efectivas toma de decisiones. En el presente curso se espera que los participantes adquieran conocimientos relacionados con Contabilidad de Costos y su rol como herramienta de apoyo a la Dirección de Empresas, distinguiendo claramente los métodos de costeo y su aplicación a los sistemas de costos. Se genera una aproximación al sector productivo de las empresas de menor tamaño, contemplando tanto los desafíos del mercado, así como las implicancias sociales y personales asociadas a estas organizaciones. Lo anterior, permite a los participantes conocer la realidad en su contexto integrando los aprendizajes disciplinarios.",https://www.coursera.org/learn/costosparanegocios
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,"¿Qué son las políticas públicas? Son la plasmación más concreta de la política. Lo que los gobiernos hacen, y dejan de hacer, para hacer frente a los problemas colectivos. Este curso trata sobre cómo se decide qué problemas abordar y qué soluciones adoptar. Un proceso primordialmente político y social que suele escapar al análisis puramente racional.  A lo largo del curso analizaremos por qué algunos problemas adquieren la categoría de problemas públicos mientras que otros no llegan a captar la atención, describiremos la pugna política que suele haber tras la descripción e interpretación de los problemas, identificaremos el complejo entramado de actores dispuestos a influir en la adopción de las políticas públicas, y cómo las discrepancias se suelen extender más allá de la toma de decisiones y hasta la aplicación práctica de la política pública. Trataremos también sobre las grandes dificultades que padecen gobiernos y actores sociales para llegar a saber si las políticas que se llevan a cabo son realmente útiles y cómo aprender a mejorar su rendimiento.   Los objetivos de este curso son: 1.        Mostrar a los alumnos un número de casos reales que ilustran la complejidad de los procesos de adopción de las políticas públicas, y cómo estos procesos pueden ser incoherentes con los modelos racionales de toma de decisiones. 2.        Transmitir a los alumnos los fundamentos e instrumental del análisis de políticas públicas para que puedan afrontar creativamente problemas del mundo real. 3.        Contribuir a que los alumnos sean ciudadanos conocedores del funcionamiento de los sistemas democráticos. Por ello, el curso se dirige a todas las personas interesadas en los problemas colectivos, así como a aquellas que quieran convertirse en participantes influyentes en el proceso de formación de las políticas, ya sea como analistas, funcionarios públicos, trabajadores del tercer sector, o como ciudadanos comprometidos en causas políticas. También se dirige a estudiantes que se dispongan a iniciar estudios de grado o postgrado en administración pública, gestión pública o análisis de políticas públicas.",https://www.coursera.org/learn/democracia
Administración ágil de proyectos,"En este curso identificarás cuáles son los elementos más importantes en la dirección de proyectos, en la planeación estratégica y cómo lo puedes vincular con el propósito, misión y visión para el logro de los objetivos organizacionales. También conocerás cómo las organizaciones están desarrollando proyectos de transformación que afectan de manera directa al capital humano aplicando nuevas formas de gestión incorporando a la “agilidad” como respuesta a nuevos cambios y a nuevas formas de hacer las cosas.",https://www.coursera.org/learn/administracin-agil-de-proyectos
Certificado profesional de Gestión de Proyectos de Google,"Quienes ocupan el puesto de gerente de proyectos tienen una gran capacidad para resolver problemas. Definen el plan, guían al equipo y gestionan los cambios, los riesgos y las partes interesadas. Adquirirás las siguientes habilidades: creación de planes de gestión de riesgos; comprensión de las técnicas de mejora de procesos; gestión de las derivaciones, la dinámica de equipo y las partes interesadas; creación de presupuestos y gestión de compras; utilización de software, herramientas y plantillas de gestión de proyectos y metodología Agile de gestión de proyectos, con énfasis en Scrum. A través de una combinación de videos, evaluaciones y actividades prácticas, aprenderás a iniciar, planificar y ejecutar proyectos con metodologías tradicionales y Agile. Adquirirás herramientas para demostrar que comprendes los elementos clave de la gestión de proyectos, incluida la gestión de un cronograma, un presupuesto y un equipo.",https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google
Programa especializado: Gestión de Proyectos,"En esta especialidad aplicarás herramientas y técnicas prácticas para profesionalizar la gestión de proyectos predictivos o ágiles en cualquier organización y desarrollarás las habilidades necesarias para convertirte en el líder que tu equipo requiere. Se abordarán los Fundamentos conceptuales y procedimentales para la gestión de proyectos, el  Enfoque de desarrollo de proyectos, predictivo o ágil, según su contexto y las Habilidades de liderazgo y formación de equipo de trabajo orientados a mejorar el desempeño. Cada proyecto incluido en la especialidad es una oportunidad para aplicar los aprendizajes conceptuales en un contexto real y con ello fortalecer la comprensión de los métodos y herramientas propios de la gestión de proyectos y delinear las habilidades esperadas del líder de proyectos y su equipo de trabajo.",https://www.coursera.org/specializations/gestion-proyectos
Crear una hoja para Gestionar Proyectos en Microsoft Excel,"En este proyecto, aprenderá a crear una hoja de seguimiento de gestión de proyectos simple que puede compartir con los miembros de su equipo para realizar un seguimiento de las tareas y el progreso de su proyecto. Aprenderá a organizar y dar formato a una tabla, así como a agregar menús desplegables y formato condicional para resaltar el estado de una tarea.",https://www.coursera.org/projects/crear-hoja-gestionar-proyectos-microsoft-excel
Programa especializado: Diseño y Gestión de Proyectos de Desarrollo,"¿Sabes que los proyectos de desarrollo son cruciales para mejorar vidas y acelerar el desarrollo económico y social en América Latina y el Caribe?  A diario, los gobiernos, instituciones y actores que trabajan para promover el desarrollo económico y social en la región, se enfrentan a un gran reto: transformar propuestas en realidades concretas que mejoren el bienestar de la sociedad de manera sostenible y brinden resultados dentro del tiempo estipulado y con los recursos disponibles. En esta especialización aprenderás, a través de casos de estudio y metodologías con estándares internacionales, conceptos y herramientas clave para diseñar y gestionar proyectos de desarrollo, y sus posibles riesgos, con énfasis en los resultados. Esta especialización está conformada por los siguientes cursos:  Diseño de proyectos de desarrollo. Herramientas de gestión de proyectos de desarrollo. Gestión con enfoque en riesgos en proyectos de desarrollo . Al finalizar, realizarás un proyecto final para poner en práctica lo aprendido sobre el diseño y la gestión de proyectos de desarrollo en los distintos cursos.  El proyecto final es el último paso de la Especialización compuesta por los cursos: Diseño de proyectos de desarrollo; Herramientas de gestión de proyectos de desarrollo y Gestión con enfoque en riesgos en proyectos de desarrollo. En el trabajo final tendrás la oportunidad de aplicar los conocimientos aprendidos a lo largo de todo el trayecto de manera integradora. Se organiza en dos partes. En la primera parte, analizarás un caso de estudio aplicando los conocimientos trabajados en los tres cursos. Y en la segunda parte, plantearás distintos elementos de un proyecto de desarrollo para resolver un problema de tu comunidad.",https://www.coursera.org/specializations/especializacion-en-diseno-y-gestion-de-proyectos-de-desarrollo
Programa especializado: Administración de Proyectos: Principios Básicos,"Planifica actividades y recursos, administra presupuestos y controla riesgos. Este Programa especializado cubre los procesos de iniciación y planificación de proyectos, definición y estimación de presupuestos, así como la gestión de riesgos y administración de cambios. En el proyecto final, desarrollado en asociación con una empresa, aplicarás las habilidades aprendidas al desarrollar los elementos de un proyecto vistos en los cursos previos.",https://www.coursera.org/specializations/administracion-proyectos
Programa especializado: Programa Especializado en Gerencia de Proyectos Complejos,"Este programa especializado busca introducir y desarrollar en los estudiantes habilidades y competencias para poder ejecutar exitosamente proyectos de alto valor en las organizaciones. A lo largo de 4 cursos, aprenderás cómo pasar de una idea a un entregable de valor, y comprender cómo usar las principales herramientas de seguimiento y control, y de recuperación de proyectos complejos. El Programa Especializado en Gerencia de Proyectos Complejos te va a proporcionar los conocimientos y las habilidades para realizar una gestión de proyectos profesional en tu entorno de trabajo diario. El poder desarrollar proyectos exitosos en las organizaciones se convierte en una tarea crítica, puesto que las necesidades externas e internas nos obligan a desarrollar mejores soluciones en un menor tiempo y costo, dejando poco margen de error.  En vista de lo anterior, se ha vuelto más necesario que nunca poder gerenciar proyectos complejos, los cuales no solo se caracterizan por su criticidad en las organizaciones, sino por los beneficios que ofrecen y el nivel de inversión que requieren para su desarrollo. Dicho esto, en este programa especializado vamos a abordar, más allá de hacer los proyectos correctamente, el hacer los proyectos correctos, evaluándolos desde su formulación, evaluación, planeación, ejecución, seguimiento y control, cierre y posible recuperación, si es el caso. Los estudiantes aplican todo lo aprendido por medio de casos reales, en los que se resalta la complejidad del contexto y del proyecto mismo a desarrollar. Cada uno de los cursos tiene un enfoque diferente, pero cuando se interiorizan los conocimientos, el estudiante va a ser capaz de idear, planear, ejecutar, y hacerle seguimiento y control a cualquier proyecto complejo de alto valor para las organizaciones.",https://www.coursera.org/specializations/gerencia-proyectos-complejos
